#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is a highly penetrant autosomal dominant condition predisposing affected individuals to schwannomas and meningiomas. The proportion of children presenting with meningioma or schwannoma who have NF2 is not well described, and neither is the mode of presentation in most children with the inherited disease.  To determine the frequency of childhood meningioma and schwannoma cases caused by NF2 and the mode of presentation.  The records of the Manchester Children's Tumour Registry from 1954 were searched for cases of meningioma and schwannoma. Paediatric presentation in a large UK series of NF2 was also studied.  18% (61/334) of patients with NF2 on the UK database presented in the paediatric age group (0-15 years), frequently with the symptoms of an isolated tumour. More than half had no family history to alert the clinician to their susceptibility. Three of 22 children presenting with a meningioma on the Manchester Children's Tumour Registry have gone on to develop classic features of NF2.  Clinicians should suspect NF2 in children presenting with meningioma, schwannoma, and skin features, such as neurofibromas/schwannomas, but fewer than 6 café au lait patches, who thus fall short of a diagnosis of neurofibromatosis type 1.
1-1	0-17	Neurofibromatosis	HPO[0]
1-275	826-832	family	_
1-277	833-840	history	_
1-279	841-843	to	_
1-281	844-849	alert	_
1-283	850-853	the	_
1-285	854-863	clinician	_
1-287	864-866	to	_
1-289	867-872	their	_
1-291	873-887	susceptibility	_
1-292	887-888	.	_
1-294	889-894	Three	_
1-296	895-897	of	_
1-298	898-900	22	_
1-300	901-909	children	_
1-302	910-920	presenting	_
1-304	921-925	with	_
1-306	926-927	a	_
1-308	928-938	meningioma	HPO[12]
1-310	939-941	on	_
1-312	942-945	the	_
1-314	946-956	Manchester	_
1-316	957-965	Children	_
1-317	965-966	'	_
1-318	966-967	s	_
1-320	968-974	Tumour	HPO[13]
1-322	975-983	Registry	_
1-324	984-988	have	_
1-326	989-993	gone	_
1-328	994-996	on	_
1-330	997-999	to	_
1-332	1000-1007	develop	_
1-334	1008-1015	classic	_
1-336	1016-1024	features	_
1-338	1025-1027	of	_
1-340	1028-1031	NF2	_
1-341	1031-1032	.	_
1-342	1032-1034	  	_
1-343	1034-1044	Clinicians	_
1-345	1045-1051	should	_
1-347	1052-1059	suspect	_
1-349	1060-1063	NF2	_
1-351	1064-1066	in	_
1-353	1067-1075	children	_
1-355	1076-1086	presenting	_
1-357	1087-1091	with	_
1-359	1092-1102	meningioma	HPO[14]
1-360	1102-1103	,	_
1-362	1104-1114	schwannoma	HPO[15]
1-363	1114-1115	,	_
1-365	1116-1119	and	_
1-367	1120-1124	skin	_
1-369	1125-1133	features	_
1-370	1133-1134	,	_
1-372	1135-1139	such	_
1-374	1140-1142	as	_
1-376	1143-1156	neurofibromas	_
1-377	1156-1157	/	_
1-378	1157-1168	schwannomas	HPO[16]
1-379	1168-1169	,	_
1-381	1170-1173	but	_
1-383	1174-1179	fewer	_
1-385	1180-1184	than	_
1-387	1185-1186	6	_
1-389	1187-1190	caf	_
1-390	1190-1192	é	_
1-392	1193-1195	au	_
1-394	1196-1200	lait	_
1-396	1201-1208	patches	_
1-397	1208-1209	,	_
1-399	1210-1213	who	_
1-401	1214-1218	thus	_
1-403	1219-1223	fall	_
1-405	1224-1229	short	_
1-407	1230-1232	of	_
1-409	1233-1234	a	_
1-411	1235-1244	diagnosis	_
1-413	1245-1247	of	_
1-415	1248-1265	neurofibromatosis	_
1-417	1266-1270	type	_
1-419	1271-1272	1	_
1-420	1272-1273	.	_
