#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type C is characterized by shortness of the second and fifth middle phalanges and the first metacarpal. It is inherited as an autosomal dominant trait, and is noted for its widely variable clinical phenotype both within and between families. In most families involvement is limited to the hands. However, in some families additional skeletal and non-skeletal findings have been reported. We report on 12 affected members from a 5 generation kindred that segregates a brachydactyly type C phenotype. All affected individuals had shortness principally affecting the second and fifth phalanges and first metacarpal. However, the metacarpal-phalangeal profile indicated that other digital elements were short as well. In addition, one affected individual had a bilateral Madelung deformity, but none had foot involvement. No other non-skeletal findings cosegregated with brachydactyly in this family. Recently, a gene for brachydactyly type C has been localized to 12q24. This was done by studying a large kindred first reported by Haws [1963], which manifests both hand and foot anomalies. Here we present linkage data which excludes the 12q24 locus in our kindred, indicating locus heterogeneity as one explanation for the interfamilial variability described in brachydactyly type C.
1-1	0-13	Brachydactyly	HPO[0]
1-206	651-661	phalangeal	_
1-208	662-669	profile	_
1-210	670-679	indicated	_
1-212	680-684	that	_
1-214	685-690	other	_
1-216	691-698	digital	_
1-218	699-707	elements	_
1-220	708-712	were	_
1-222	713-718	short	_
1-224	719-721	as	_
1-226	722-726	well	_
1-227	726-727	.	_
1-229	728-730	In	_
1-231	731-739	addition	_
1-232	739-740	,	_
1-234	741-744	one	_
1-236	745-753	affected	_
1-238	754-764	individual	_
1-240	765-768	had	_
1-242	769-770	a	_
1-244	771-780	bilateral	HPO[3]
1-246	781-789	Madelung	HPO[4]
1-248	790-799	deformity	HPO[4]
1-249	799-800	,	_
1-251	801-804	but	_
1-253	805-809	none	_
1-255	810-813	had	_
1-257	814-818	foot	_
1-259	819-830	involvement	_
1-260	830-831	.	_
1-262	832-834	No	_
1-264	835-840	other	_
1-266	841-844	non	_
1-267	844-845	-	_
1-268	845-853	skeletal	_
1-270	854-862	findings	_
1-272	863-875	cosegregated	_
1-274	876-880	with	_
1-276	881-894	brachydactyly	HPO[5]
1-278	895-897	in	_
1-280	898-902	this	_
1-282	903-909	family	_
1-283	909-910	.	_
1-285	911-919	Recently	_
1-286	919-920	,	_
1-288	921-922	a	_
1-290	923-927	gene	_
1-292	928-931	for	_
1-294	932-945	brachydactyly	HPO[6]
1-296	946-950	type	_
1-298	951-952	C	_
1-300	953-956	has	_
1-302	957-961	been	_
1-304	962-971	localized	HPO[7]
1-306	972-974	to	_
1-308	975-980	12q24	_
1-309	980-981	.	_
1-311	982-986	This	_
1-313	987-990	was	_
1-315	991-995	done	_
1-317	996-998	by	_
1-319	999-1007	studying	_
1-321	1008-1009	a	_
1-323	1010-1015	large	_
1-325	1016-1023	kindred	_
1-327	1024-1029	first	_
1-329	1030-1038	reported	_
1-331	1039-1041	by	_
1-333	1042-1046	Haws	_
1-335	1047-1048	[	_
1-336	1048-1052	1963	_
1-337	1052-1054	],	_
1-339	1055-1060	which	_
1-341	1061-1070	manifests	_
1-343	1071-1075	both	_
1-345	1076-1080	hand	_
1-347	1081-1084	and	_
1-349	1085-1089	foot	_
1-351	1090-1099	anomalies	_
1-352	1099-1100	.	_
1-354	1101-1105	Here	_
1-356	1106-1108	we	_
1-358	1109-1116	present	_
1-360	1117-1124	linkage	_
1-362	1125-1129	data	_
1-364	1130-1135	which	_
1-366	1136-1144	excludes	_
1-368	1145-1148	the	_
1-370	1149-1154	12q24	_
1-372	1155-1160	locus	_
1-374	1161-1163	in	_
1-376	1164-1167	our	_
1-378	1168-1175	kindred	_
1-379	1175-1176	,	_
1-381	1177-1187	indicating	_
1-383	1188-1193	locus	_
1-385	1194-1207	heterogeneity	HPO[8]
1-387	1208-1210	as	_
1-389	1211-1214	one	_
1-391	1215-1226	explanation	_
1-393	1227-1230	for	_
1-395	1231-1234	the	_
1-397	1235-1248	interfamilial	_
1-399	1249-1260	variability	_
1-401	1261-1270	described	_
1-403	1271-1273	in	_
1-405	1274-1287	brachydactyly	HPO[9]
1-407	1288-1292	type	_
1-409	1293-1294	C	_
1-410	1294-1295	.	_
