#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 (NF2) features bilateral vestibular schwannomas, other benign neural tumors, and cataracts. Patients in some families develop many tumors at an early age and have rapid clinical progression, whereas in other families, patients may not have symptoms until much later and vestibular schwannomas may be the only tumors. The NF2 gene has been cloned from chromosome 22q; most identified germ-line mutations result in a truncated protein and severe NF2. To look for additional mutations and clinical correlations, we used SSCP analysis to screen DNA from 32 unrelated patients. We identified 20 different mutations in 21 patients (66%): 10 nonsense mutations, 2 frameshifts, 7 splice-site mutations, and 1 large in-frame deletion. Clinical information on 47 patients from the 21 families included ages at onset and at diagnosis, numbers of meningiomas, spinal and skin tumors, and presence of cataracts and retinal abnormalities. We compared clinical findings in patients with nonsense or frameshift mutations to those with splice-site mutations. When each patient was considered as an independent random event, the two groups differed (P < or = .05) for nearly every variable. Patients with nonsense or frameshift mutations were younger at onset and at diagnosis and had a higher frequency and mean number of tumors, supporting the correlation between nonsense and frameshift mutations and severe NF2. When each family was considered as an independent random event, statistically significant differences between the two groups were observed only for mean ages at onset and at diagnosis. A larger data set is needed to resolve these discrepancies. We observed retinal hamartomas and/or epiretinal membranes in nine patients from five families with four different nonsense mutations. This finding, which may represent a new genotype-phenotype correlation, merits further study.
1-1	0-17	Neurofibromatosis	HPO[0]
1-421	1269-1278	diagnosis	_
1-423	1279-1282	and	_
1-425	1283-1286	had	_
1-427	1287-1288	a	_
1-429	1289-1295	higher	_
1-431	1296-1305	frequency	HPO[10]
1-433	1306-1309	and	_
1-435	1310-1314	mean	_
1-437	1315-1321	number	_
1-439	1322-1324	of	_
1-441	1325-1331	tumors	_
1-442	1331-1332	,	_
1-444	1333-1343	supporting	_
1-446	1344-1347	the	_
1-448	1348-1359	correlation	_
1-450	1360-1367	between	_
1-452	1368-1376	nonsense	_
1-454	1377-1380	and	_
1-456	1381-1391	frameshift	_
1-458	1392-1401	mutations	_
1-460	1402-1405	and	_
1-462	1406-1412	severe	HPO[11]
1-464	1413-1416	NF2	_
1-465	1416-1417	.	_
1-467	1418-1422	When	_
1-469	1423-1427	each	_
1-471	1428-1434	family	_
1-473	1435-1438	was	_
1-475	1439-1449	considered	_
1-477	1450-1452	as	_
1-479	1453-1455	an	_
1-481	1456-1467	independent	_
1-483	1468-1474	random	_
1-485	1475-1480	event	_
1-486	1480-1481	,	_
1-488	1482-1495	statistically	_
1-490	1496-1507	significant	_
1-492	1508-1519	differences	_
1-494	1520-1527	between	_
1-496	1528-1531	the	_
1-498	1532-1535	two	_
1-500	1536-1542	groups	_
1-502	1543-1547	were	_
1-504	1548-1556	observed	_
1-506	1557-1561	only	_
1-508	1562-1565	for	_
1-510	1566-1570	mean	_
1-512	1571-1575	ages	_
1-514	1576-1578	at	_
1-516	1579-1584	onset	HPO[12]
1-518	1585-1588	and	_
1-520	1589-1591	at	_
1-522	1592-1601	diagnosis	_
1-523	1601-1602	.	_
1-525	1603-1604	A	_
1-527	1605-1611	larger	_
1-529	1612-1616	data	_
1-531	1617-1620	set	_
1-533	1621-1623	is	_
1-535	1624-1630	needed	_
1-537	1631-1633	to	_
1-539	1634-1641	resolve	_
1-541	1642-1647	these	_
1-543	1648-1661	discrepancies	_
1-544	1661-1662	.	_
1-546	1663-1665	We	_
1-548	1666-1674	observed	_
1-550	1675-1682	retinal	_
1-552	1683-1693	hamartomas	_
1-554	1694-1697	and	_
1-555	1697-1698	/	_
1-556	1698-1700	or	_
1-558	1701-1711	epiretinal	HPO[13]
1-560	1712-1721	membranes	HPO[13]
1-562	1722-1724	in	_
1-564	1725-1729	nine	_
1-566	1730-1738	patients	_
1-568	1739-1743	from	_
1-570	1744-1748	five	_
1-572	1749-1757	families	_
1-574	1758-1762	with	_
1-576	1763-1767	four	_
1-578	1768-1777	different	_
1-580	1778-1786	nonsense	_
1-582	1787-1796	mutations	_
1-583	1796-1797	.	_
1-585	1798-1802	This	_
1-587	1803-1810	finding	_
1-588	1810-1811	,	_
1-590	1812-1817	which	_
1-592	1818-1821	may	_
1-594	1822-1831	represent	_
1-596	1832-1833	a	_
1-598	1834-1837	new	_
1-600	1838-1846	genotype	_
1-601	1846-1847	-	_
1-602	1847-1856	phenotype	_
1-604	1857-1868	correlation	_
1-605	1868-1869	,	_
1-607	1870-1876	merits	_
1-609	1877-1884	further	_
1-611	1885-1890	study	_
1-612	1890-1891	.	_
