#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is an autosomal dominant syndrome characterized by the development of vestibular schwannomas and other tumors of the nervous system, including cranial and spinal meningiomas, schwannomas, and ependymomas. The presence of bilateral vestibular schwannomas is sufficient for the diagnosis. Skin manifestations are less common than in neurofibromatosis type 1 (NF1; von Recklinghausen disease). The apparent clinical distinction between NF1 and NF2 has been confirmed at the level of the gene locus by linkage studies; the gene for NF1 maps to chromosome 17, whereas the gene for NF2 has been assigned (in a single family) to chromosome 22. To increase the precision of the genetic mapping of NF2 and to determine whether additional susceptibility loci exist, we have performed linkage analysis on 12 families with NF2 by using four polymorphic markers from chromosome 22 and a marker at the NF1 locus on chromosome 17. Our results confirm the assignment of the gene for NF2 to chromosome 22 and do not support the hypothesis of genetic heterogeneity. We believe that chromosome 22 markers can now be used for presymptomatic diagnosis in selected families. The NF2 gene is tightly linked to the D22S32 locus (maximum lod score 4.12; recombination fraction 0). A CA-repeat polymorphism at the CRYB2 locus was the most informative marker in our families (lod score 5.99), but because the observed recombination fraction between NF2 and CRYB2 was 10 cM, predictions using this marker will need to be interpreted with caution.
1-1	0-17	Neurofibromatosis	HPO[0]
1-265	825-827	12	_
1-267	828-836	families	_
1-269	837-841	with	_
1-271	842-845	NF2	_
1-273	846-848	by	_
1-275	849-854	using	_
1-277	855-859	four	_
1-279	860-871	polymorphic	_
1-281	872-879	markers	_
1-283	880-884	from	_
1-285	885-895	chromosome	_
1-287	896-898	22	_
1-289	899-902	and	_
1-291	903-904	a	_
1-293	905-911	marker	_
1-295	912-914	at	_
1-297	915-918	the	_
1-299	919-922	NF1	_
1-301	923-928	locus	_
1-303	929-931	on	_
1-305	932-942	chromosome	_
1-307	943-945	17	_
1-308	945-946	.	_
1-310	947-950	Our	_
1-312	951-958	results	_
1-314	959-966	confirm	_
1-316	967-970	the	_
1-318	971-981	assignment	_
1-320	982-984	of	_
1-322	985-988	the	_
1-324	989-993	gene	_
1-326	994-997	for	_
1-328	998-1001	NF2	_
1-330	1002-1004	to	_
1-332	1005-1015	chromosome	_
1-334	1016-1018	22	_
1-336	1019-1022	and	_
1-338	1023-1025	do	_
1-340	1026-1029	not	_
1-342	1030-1037	support	_
1-344	1038-1041	the	_
1-346	1042-1052	hypothesis	_
1-348	1053-1055	of	_
1-350	1056-1063	genetic	HPO[7]
1-352	1064-1077	heterogeneity	HPO[7]|HPO[8]
1-353	1077-1078	.	_
1-355	1079-1081	We	_
1-357	1082-1089	believe	_
1-359	1090-1094	that	_
1-361	1095-1105	chromosome	_
1-363	1106-1108	22	_
1-365	1109-1116	markers	_
1-367	1117-1120	can	_
1-369	1121-1124	now	_
1-371	1125-1127	be	_
1-373	1128-1132	used	_
1-375	1133-1136	for	_
1-377	1137-1151	presymptomatic	_
1-379	1152-1161	diagnosis	_
1-381	1162-1164	in	_
1-383	1165-1173	selected	_
1-385	1174-1182	families	_
1-386	1182-1183	.	_
1-388	1184-1187	The	_
1-390	1188-1191	NF2	_
1-392	1192-1196	gene	_
1-394	1197-1199	is	_
1-396	1200-1207	tightly	_
1-398	1208-1214	linked	_
1-400	1215-1217	to	_
1-402	1218-1221	the	_
1-404	1222-1228	D22S32	_
1-406	1229-1234	locus	_
1-408	1235-1236	(	_
1-409	1236-1243	maximum	_
1-411	1244-1247	lod	_
1-413	1248-1253	score	_
1-415	1254-1255	4	_
1-416	1255-1256	.	_
1-417	1256-1258	12	_
1-418	1258-1259	;	_
1-420	1260-1273	recombination	_
1-422	1274-1282	fraction	_
1-424	1283-1284	0	_
1-425	1284-1286	).	_
1-427	1287-1288	A	_
1-429	1289-1291	CA	_
1-430	1291-1292	-	_
1-431	1292-1298	repeat	_
1-433	1299-1311	polymorphism	_
1-435	1312-1314	at	_
1-437	1315-1318	the	_
1-439	1319-1324	CRYB2	_
1-441	1325-1330	locus	_
1-443	1331-1334	was	_
1-445	1335-1338	the	_
1-447	1339-1343	most	_
1-449	1344-1355	informative	_
1-451	1356-1362	marker	_
1-453	1363-1365	in	_
1-455	1366-1369	our	_
1-457	1370-1378	families	_
1-459	1379-1380	(	_
1-460	1380-1383	lod	_
1-462	1384-1389	score	_
1-464	1390-1391	5	_
1-465	1391-1392	.	_
1-466	1392-1394	99	_
1-467	1394-1396	),	_
1-469	1397-1400	but	_
1-471	1401-1408	because	_
1-473	1409-1412	the	_
1-475	1413-1421	observed	_
1-477	1422-1435	recombination	_
1-479	1436-1444	fraction	_
1-481	1445-1452	between	_
1-483	1453-1456	NF2	_
1-485	1457-1460	and	_
1-487	1461-1466	CRYB2	_
1-489	1467-1470	was	_
1-491	1471-1473	10	_
1-493	1474-1476	cM	_
1-494	1476-1477	,	_
1-496	1478-1489	predictions	_
1-498	1490-1495	using	_
1-500	1496-1500	this	_
1-502	1501-1507	marker	_
1-504	1508-1512	will	_
1-506	1513-1517	need	_
1-508	1518-1520	to	_
1-510	1521-1523	be	_
1-512	1524-1535	interpreted	_
1-514	1536-1540	with	_
1-516	1541-1548	caution	_
1-517	1548-1549	.	_
