#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Schwannomas in the skin are frequently observed in neurofibromatosis 2 patients. In about one-quarter of the cases, skin tumors are the first clinical symptoms of this disease. Recognizing neurofibromatosis-2-related skin tumors is therefore important for early diagnosis of neurofibromatosis 2, especially in pediatric patients. In this study, we examined 40 skin tumors (36 schwannomas and four neurofibromas) from 20 neurofibromatosis 2 patients for NF2 mutations and allelic loss. NF2 mutations have been identified in blood from 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and NF2 allelic loss in 18 (45%) of the 40 analyzed tumors. Genetic alterations (allelic loss or mutation) were thus found in 50 (63%) out of the total of 80 examined alleles. In 17 (43%) tumors, alterations were found on both NF2 alleles. These results suggest that, as in the case of vestibular schwannomas and meningiomas, loss of functional NF2 gene product is also the critical event in the development of skin schwannomas. Identification of genetic alterations of the NF2 gene in skin tumors may help to identify neurofibromatosis-2-associated skin tumors, thus assisting in the diagnosis of neurofibromatosis 2 in ambiguous cases, and excluding neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).
1-1	0-11	Schwannomas	HPO[0]
1-230	680-681	(	_
1-231	681-688	allelic	_
1-233	689-693	loss	_
1-235	694-696	or	_
1-237	697-705	mutation	_
1-238	705-706	)	_
1-240	707-711	were	_
1-242	712-716	thus	_
1-244	717-722	found	_
1-246	723-725	in	_
1-248	726-728	50	_
1-250	729-730	(	_
1-251	730-732	63	_
1-252	732-734	%)	_
1-254	735-738	out	_
1-256	739-741	of	_
1-258	742-745	the	_
1-260	746-751	total	_
1-262	752-754	of	_
1-264	755-757	80	_
1-266	758-766	examined	_
1-268	767-774	alleles	_
1-269	774-775	.	_
1-271	776-778	In	_
1-273	779-781	17	_
1-275	782-783	(	_
1-276	783-785	43	_
1-277	785-787	%)	_
1-279	788-794	tumors	_
1-280	794-795	,	_
1-282	796-807	alterations	_
1-284	808-812	were	_
1-286	813-818	found	_
1-288	819-821	on	_
1-290	822-826	both	_
1-292	827-830	NF2	_
1-294	831-838	alleles	_
1-295	838-839	.	_
1-297	840-845	These	_
1-299	846-853	results	_
1-301	854-861	suggest	_
1-303	862-866	that	_
1-304	866-867	,	_
1-306	868-870	as	_
1-308	871-873	in	_
1-310	874-877	the	_
1-312	878-882	case	_
1-314	883-885	of	_
1-316	886-896	vestibular	_
1-318	897-908	schwannomas	HPO[9]
1-320	909-912	and	_
1-322	913-924	meningiomas	_
1-323	924-925	,	_
1-325	926-930	loss	_
1-327	931-933	of	_
1-329	934-944	functional	_
1-331	945-948	NF2	_
1-333	949-953	gene	_
1-335	954-961	product	_
1-337	962-964	is	_
1-339	965-969	also	_
1-341	970-973	the	_
1-343	974-982	critical	_
1-345	983-988	event	_
1-347	989-991	in	_
1-349	992-995	the	_
1-351	996-1007	development	_
1-353	1008-1010	of	_
1-355	1011-1015	skin	_
1-357	1016-1027	schwannomas	HPO[10]
1-358	1027-1028	.	_
1-360	1029-1043	Identification	_
1-362	1044-1046	of	_
1-364	1047-1054	genetic	_
1-366	1055-1066	alterations	_
1-368	1067-1069	of	_
1-370	1070-1073	the	_
1-372	1074-1077	NF2	_
1-374	1078-1082	gene	_
1-376	1083-1085	in	_
1-378	1086-1090	skin	HPO[11]
1-380	1091-1097	tumors	HPO[11]
1-382	1098-1101	may	_
1-384	1102-1106	help	_
1-386	1107-1109	to	_
1-388	1110-1118	identify	_
1-390	1119-1136	neurofibromatosis	_
1-391	1136-1137	-	_
1-392	1137-1138	2	_
1-393	1138-1139	-	_
1-394	1139-1149	associated	_
1-396	1150-1154	skin	HPO[12]
1-398	1155-1161	tumors	HPO[12]
1-399	1161-1162	,	_
1-401	1163-1167	thus	_
1-403	1168-1177	assisting	_
1-405	1178-1180	in	_
1-407	1181-1184	the	_
1-409	1185-1194	diagnosis	_
1-411	1195-1197	of	_
1-413	1198-1215	neurofibromatosis	HPO[13]
1-415	1216-1217	2	_
1-417	1218-1220	in	_
1-419	1221-1230	ambiguous	_
1-421	1231-1236	cases	_
1-422	1236-1237	,	_
1-424	1238-1241	and	_
1-426	1242-1251	excluding	_
1-428	1252-1269	neurofibromatosis	HPO[14]
1-430	1270-1271	1	_
1-432	1272-1274	in	_
1-434	1275-1282	unclear	_
1-436	1283-1288	cases	_
1-437	1288-1289	.	_
1-439	1290-1292	We	_
1-441	1293-1297	also	_
1-443	1298-1304	report	_
1-445	1305-1309	that	_
1-447	1310-1313	the	_
1-449	1314-1323	detection	_
1-451	1324-1328	rate	_
1-453	1329-1331	of	_
1-455	1332-1346	constitutional	_
1-457	1347-1356	mutations	_
1-459	1357-1360	was	_
1-461	1361-1367	higher	_
1-463	1368-1370	in	_
1-465	1371-1379	patients	_
1-467	1380-1384	with	_
1-469	1385-1389	skin	HPO[15]
1-471	1390-1396	tumors	HPO[15]
1-473	1397-1398	(	_
1-474	1398-1400	65	_
1-475	1400-1402	%)	_
1-477	1403-1407	than	_
1-479	1408-1410	in	_
1-481	1411-1419	patients	_
1-483	1420-1427	without	_
1-485	1428-1432	skin	HPO[16]
1-487	1433-1439	tumors	HPO[16]
1-489	1440-1441	(	_
1-490	1441-1443	40	_
1-491	1443-1446	%).	_
