#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Popliteal pterygium syndrome (PPS) is a rare autosomal dominant disorder, thought to occur with an incidence of approximately 1 in 300 000 live births. The main clinical manifestations are popliteal webbing, cleft lip, cleft palate, lower lip pits, syndactyly, and genital and nail anomalies. This report describes the clinical features in two families with PPS and one isolated case, showing the range of anomalies found both within and between the families. PPS has some features in common with Van der Woude syndrome (VWS), also inherited as an autosomal dominant condition, with cleft lip/palate and, more distinctively, lower lip pits. Although the gene for VWS has not yet been identified, it has been localised to within 1.6 cM in the region 1q32-41. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotyped for markers flanking and within the critical region. A multipoint lod score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.
1-1	0-9	Popliteal	HPO[0]
1-178	521-524	VWS	_
1-179	524-526	),	_
1-181	527-531	also	_
1-183	532-541	inherited	_
1-185	542-544	as	_
1-187	545-547	an	_
1-189	548-557	autosomal	HPO[6]
1-191	558-566	dominant	HPO[6]
1-193	567-576	condition	_
1-194	576-577	,	_
1-196	578-582	with	_
1-198	583-588	cleft	HPO[7]
1-200	589-592	lip	HPO[7]
1-201	592-593	/	HPO[7]
1-202	593-599	palate	HPO[7]
1-204	600-603	and	_
1-205	603-604	,	_
1-207	605-609	more	_
1-209	610-623	distinctively	_
1-210	623-624	,	_
1-212	625-630	lower	_
1-214	631-634	lip	_
1-216	635-639	pits	_
1-217	639-640	.	_
1-219	641-649	Although	_
1-221	650-653	the	_
1-223	654-658	gene	_
1-225	659-662	for	_
1-227	663-666	VWS	_
1-229	667-670	has	_
1-231	671-674	not	_
1-233	675-678	yet	_
1-235	679-683	been	_
1-237	684-694	identified	_
1-238	694-695	,	_
1-240	696-698	it	_
1-242	699-702	has	_
1-244	703-707	been	_
1-246	708-717	localised	HPO[8]
1-248	718-720	to	_
1-250	721-727	within	_
1-252	728-729	1	_
1-253	729-730	.	_
1-254	730-731	6	_
1-256	732-734	cM	_
1-258	735-737	in	_
1-260	738-741	the	_
1-262	742-748	region	_
1-264	749-753	1q32	_
1-265	753-754	-	_
1-266	754-756	41	_
1-267	756-757	.	_
1-269	758-760	To	_
1-271	761-770	determine	_
1-273	771-778	whether	_
1-275	779-782	PPS	_
1-277	783-786	and	_
1-279	787-790	VWS	_
1-281	791-800	represent	_
1-283	801-808	allelic	_
1-285	809-814	forms	_
1-287	815-817	of	_
1-289	818-821	the	_
1-291	822-826	same	_
1-293	827-831	gene	_
1-294	831-832	,	_
1-296	833-838	three	_
1-298	839-847	families	_
1-300	848-852	were	_
1-302	853-862	genotyped	_
1-304	863-866	for	_
1-306	867-874	markers	_
1-308	875-883	flanking	_
1-310	884-887	and	_
1-312	888-894	within	_
1-314	895-898	the	_
1-316	899-907	critical	_
1-318	908-914	region	_
1-319	914-915	.	_
1-321	916-917	A	_
1-323	918-928	multipoint	_
1-325	929-932	lod	_
1-327	933-938	score	_
1-329	939-941	of	_
1-331	942-943	2	_
1-332	943-944	.	_
1-333	944-945	7	_
1-335	946-949	was	_
1-337	950-958	obtained	_
1-338	958-959	,	_
1-340	960-964	with	_
1-342	965-967	no	_
1-344	968-976	evidence	_
1-346	977-979	of	_
1-348	980-993	recombination	_
1-349	993-994	,	_
1-351	995-1005	supporting	_
1-353	1006-1009	the	_
1-355	1010-1020	hypothesis	_
1-357	1021-1025	that	_
1-359	1026-1031	these	_
1-361	1032-1035	two	_
1-363	1036-1045	disorders	_
1-365	1046-1049	are	_
1-367	1050-1057	allelic	_
1-368	1057-1058	.	_
