#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) must be suspected in patients presenting with a unilateral vestibular schwannoma at a young age who are therefore at theoretical risk of developing bilateral disease. We identified 45 patients aged 30 years or less at the onset of symptoms of a unilateral vestibular schwannoma. Molecular genetic analysis of the NF2 gene was completed on peripheral blood samples in all 45 and on 28 tumour samples. No pathogenic NF2 mutations were identified in any of the blood samples. NF2 point mutations were identified in 21/28 (75%) tumour samples and loss of heterozygosity (LOH) in 21/28 (75%) tumour samples. Both mutational hits were identified in 18/28 (65%) tumour samples. In one multilobular tumour, one (presumably first hit) mutation was confirmed which was common to different foci of the tumour, while the second mutational event differed between foci. The molecular findings in this patient were consistent with somatic mosaicism for NF2 and the clinical diagnosis was confirmed with the presence of two meningiomas on a follow up MRI scan. A further patient developed a contralateral vestibular schwannoma on a follow up MRI scan in whom neither of the truncating mutations in the vestibular schwannoma were present in blood. It is important when counselling patients with unilateral vestibular schwannomas to identify (1) those at risk of bilateral disease, (2) those at risk of developing other tumours, and (3) other family members at risk of developing NF2. Comparing tumour and blood DNA cannot exclude mosaicism in the index case and cannot, therefore, be used to predict those at risk of developing further tumours. However, identification of both mutations or one mutation plus LOH in the tumour and exclusion of those mutations in the blood samples of the sibs or offspring of the affected case may be sufficient to render further screening unnecessary in these relatives.
1-1	0-17	Neurofibromatosis	HPO[0]
1-238	683-685	%)	_
1-240	686-692	tumour	HPO[15]
1-242	693-700	samples	_
1-243	700-701	.	_
1-245	702-704	In	_
1-247	705-708	one	_
1-249	709-721	multilobular	_
1-251	722-728	tumour	HPO[16]
1-252	728-729	,	_
1-254	730-733	one	_
1-256	734-735	(	_
1-257	735-745	presumably	_
1-259	746-751	first	_
1-261	752-755	hit	_
1-262	755-756	)	_
1-264	757-765	mutation	_
1-266	766-769	was	_
1-268	770-779	confirmed	_
1-270	780-785	which	_
1-272	786-789	was	_
1-274	790-796	common	_
1-276	797-799	to	_
1-278	800-809	different	_
1-280	810-814	foci	_
1-282	815-817	of	_
1-284	818-821	the	_
1-286	822-828	tumour	HPO[17]
1-287	828-829	,	_
1-289	830-835	while	_
1-291	836-839	the	_
1-293	840-846	second	_
1-295	847-857	mutational	_
1-297	858-863	event	_
1-299	864-872	differed	_
1-301	873-880	between	_
1-303	881-885	foci	_
1-304	885-886	.	_
1-306	887-890	The	_
1-308	891-900	molecular	_
1-310	901-909	findings	_
1-312	910-912	in	_
1-314	913-917	this	_
1-316	918-925	patient	_
1-318	926-930	were	_
1-320	931-941	consistent	_
1-322	942-946	with	_
1-324	947-954	somatic	HPO[18]
1-326	955-964	mosaicism	HPO[18]
1-328	965-968	for	_
1-330	969-972	NF2	_
1-332	973-976	and	_
1-334	977-980	the	_
1-336	981-989	clinical	_
1-338	990-999	diagnosis	_
1-340	1000-1003	was	_
1-342	1004-1013	confirmed	_
1-344	1014-1018	with	_
1-346	1019-1022	the	_
1-348	1023-1031	presence	_
1-350	1032-1034	of	_
1-352	1035-1038	two	_
1-354	1039-1050	meningiomas	_
1-356	1051-1053	on	_
1-358	1054-1055	a	_
1-360	1056-1062	follow	_
1-362	1063-1065	up	_
1-364	1066-1069	MRI	_
1-366	1070-1074	scan	_
1-367	1074-1075	.	_
1-369	1076-1077	A	_
1-371	1078-1085	further	_
1-373	1086-1093	patient	_
1-375	1094-1103	developed	_
1-377	1104-1105	a	_
1-379	1106-1119	contralateral	_
1-381	1120-1130	vestibular	HPO[19]
1-383	1131-1141	schwannoma	HPO[19]|HPO[20]
1-385	1142-1144	on	_
1-387	1145-1146	a	_
1-389	1147-1153	follow	_
1-391	1154-1156	up	_
1-393	1157-1160	MRI	_
1-395	1161-1165	scan	_
1-397	1166-1168	in	_
1-399	1169-1173	whom	_
1-401	1174-1181	neither	_
1-403	1182-1184	of	_
1-405	1185-1188	the	_
1-407	1189-1199	truncating	_
1-409	1200-1209	mutations	_
1-411	1210-1212	in	_
1-413	1213-1216	the	_
1-415	1217-1227	vestibular	HPO[21]
1-417	1228-1238	schwannoma	HPO[21]|HPO[22]
1-419	1239-1243	were	_
1-421	1244-1251	present	_
1-423	1252-1254	in	_
1-425	1255-1260	blood	_
1-426	1260-1261	.	_
1-428	1262-1264	It	_
1-430	1265-1267	is	_
1-432	1268-1277	important	_
1-434	1278-1282	when	_
1-436	1283-1294	counselling	_
1-438	1295-1303	patients	_
1-440	1304-1308	with	_
1-442	1309-1319	unilateral	HPO[23]
1-444	1320-1330	vestibular	_
1-446	1331-1342	schwannomas	HPO[24]
1-448	1343-1345	to	_
1-450	1346-1354	identify	_
1-452	1355-1356	(	_
1-453	1356-1357	1	_
1-454	1357-1358	)	_
1-456	1359-1364	those	_
1-458	1365-1367	at	_
1-460	1368-1372	risk	_
1-462	1373-1375	of	_
1-464	1376-1385	bilateral	HPO[25]
1-466	1386-1393	disease	_
1-467	1393-1394	,	_
1-469	1395-1396	(	_
1-470	1396-1397	2	_
1-471	1397-1398	)	_
1-473	1399-1404	those	_
1-475	1405-1407	at	_
1-477	1408-1412	risk	_
1-479	1413-1415	of	_
1-481	1416-1426	developing	_
1-483	1427-1432	other	_
1-485	1433-1440	tumours	_
1-486	1440-1441	,	_
1-488	1442-1445	and	_
1-490	1446-1447	(	_
1-491	1447-1448	3	_
1-492	1448-1449	)	_
1-494	1450-1455	other	_
1-496	1456-1462	family	_
1-498	1463-1470	members	_
1-500	1471-1473	at	_
1-502	1474-1478	risk	_
1-504	1479-1481	of	_
1-506	1482-1492	developing	_
1-508	1493-1496	NF2	_
1-509	1496-1497	.	_
1-511	1498-1507	Comparing	_
1-513	1508-1514	tumour	HPO[26]
1-515	1515-1518	and	_
1-517	1519-1524	blood	_
1-519	1525-1528	DNA	_
1-521	1529-1535	cannot	_
1-523	1536-1543	exclude	_
1-525	1544-1553	mosaicism	_
1-527	1554-1556	in	_
1-529	1557-1560	the	_
1-531	1561-1566	index	_
1-533	1567-1571	case	_
1-535	1572-1575	and	_
1-537	1576-1582	cannot	_
1-538	1582-1583	,	_
1-540	1584-1593	therefore	_
1-541	1593-1594	,	_
1-543	1595-1597	be	_
1-545	1598-1602	used	_
1-547	1603-1605	to	_
1-549	1606-1613	predict	_
1-551	1614-1619	those	_
1-553	1620-1622	at	_
1-555	1623-1627	risk	_
1-557	1628-1630	of	_
1-559	1631-1641	developing	_
1-561	1642-1649	further	_
1-563	1650-1657	tumours	_
1-564	1657-1658	.	_
1-566	1659-1666	However	_
1-567	1666-1667	,	_
1-569	1668-1682	identification	_
1-571	1683-1685	of	_
1-573	1686-1690	both	_
1-575	1691-1700	mutations	_
1-577	1701-1703	or	_
1-579	1704-1707	one	_
1-581	1708-1716	mutation	_
1-583	1717-1721	plus	_
1-585	1722-1725	LOH	_
1-587	1726-1728	in	_
1-589	1729-1732	the	_
1-591	1733-1739	tumour	HPO[27]
1-593	1740-1743	and	_
1-595	1744-1753	exclusion	_
1-597	1754-1756	of	_
1-599	1757-1762	those	_
1-601	1763-1772	mutations	_
1-603	1773-1775	in	_
1-605	1776-1779	the	_
1-607	1780-1785	blood	_
1-609	1786-1793	samples	_
1-611	1794-1796	of	_
1-613	1797-1800	the	_
1-615	1801-1805	sibs	_
1-617	1806-1808	or	_
1-619	1809-1818	offspring	_
1-621	1819-1821	of	_
1-623	1822-1825	the	_
1-625	1826-1834	affected	_
1-627	1835-1839	case	_
1-629	1840-1843	may	_
1-631	1844-1846	be	_
1-633	1847-1857	sufficient	_
1-635	1858-1860	to	_
1-637	1861-1867	render	_
1-639	1868-1875	further	_
1-641	1876-1885	screening	_
1-643	1886-1897	unnecessary	_
1-645	1898-1900	in	_
1-647	1901-1906	these	_
1-649	1907-1916	relatives	_
1-650	1916-1917	.	_
